"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Zhao Y.; Schmid B.; Zheng Z.; Wang Y.; Wu J.; Wang Y.; Chen Z.; Zhao X.; Zhao D.; Zeng Y.; Bai Y.","Zhao, Yujin (56449615400); Schmid, Bernhard (7102653764); Zheng, Zhaoju (57192438747); Wang, Yang (57809591100); Wu, Jin (59347988800); Wang, Yao (57946711900); Chen, Ziyan (59402064700); Zhao, Xia (55559707900); Zhao, Dan (55413878900); Zeng, Yuan (56949561600); Bai, Yongfei (7402572342)","56449615400; 7102653764; 57192438747; 57809591100; 59347988800; 57946711900; 59402064700; 55559707900; 55413878900; 56949561600; 7402572342","Remotely Sensed Variables Predict Grassland Diversity Better at Scales Below 1,000 km as Opposed to Abiotic Variables That Predict It Better at Larger Scales","2024","Earth's Future","12","11","e2024EF004648","","","","0","10.1029/2024EF004648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208588611&doi=10.1029%2f2024EF004648&partnerID=40&md5=7950de1b9747e33bdd33c8664fa10611","Global spatial patterns of vascular plant diversity have been mapped at coarse grain based on climate-dominated environment–diversity relationships and, where possible, at finer grain using remote sensing. However, for grasslands with their small plant sizes, the limited availability of vegetation plot data has caused large uncertainties in fine-grained mapping of species diversity. Here we used vegetation survey data from 1,609 field sites (>4,000 plots of 1 m2), remotely sensed data (ecosystem productivity and phenology, habitat heterogeneity, functional traits and spectral diversity), and abiotic data (water- and energy-related, characterizing climate-dominated environment) together with machine learning and spatial autoregressive models to predict and map grassland species richness per 100 m2 across the Mongolian Plateau at 500 m resolution. Combining all variables yielded a predictive accuracy of 69% compared with 64% using remotely sensed variables or 65% using abiotic variables alone. Among remotely sensed variables, functional traits showed the highest predictive power (55%) in species richness estimation, followed by productivity and phenology (48%), spectral diversity (48%) and habitat heterogeneity (48%). When considering spatial autocorrelation, remotely sensed variables explained 52% and abiotic variables explained 41%. Moreover, Remotely sensed variables provided better prediction at smaller grain size (<∼1,000 km), while water- and energy-dominated macro-environment variables were the most important drivers and dominated the effects of remotely sensed variables on diversity patterns at macro-scale (>∼1,000 km). These findings indicate that while remotely sensed vegetation characteristics and climate-dominated macro-environment provide similar predictions for mapping grassland plant species richness, they offer complementary explanations across broad spatial scales. © 2024. The Author(s).","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85208588611"
"Palviainen M.; Soininen J.-P.; Arnold M.","Palviainen, Marko (8612626100); Soininen, Juha-Pekka (6701831944); Arnold, Mona (23966342400)","8612626100; 6701831944; 23966342400","Requirements for water data ecosystems: results from a business ecosystem case study","2024","Environment Systems and Decisions","44","4","","994","1018","24","0","10.1007/s10669-024-09988-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204425900&doi=10.1007%2fs10669-024-09988-5&partnerID=40&md5=c4ef604f4729e478ef728fadc539957d","This paper studies the factors that affect the emergence of water data ecosystems using a case study as a research method. The study is based on interviews conducted with partners in a comprehensive business ecosystem focused on the development of smart water network management. Eleven representatives from six private companies, the waterworks of a city, and three organizations that provide water supply management services for municipalities were interviewed. The paper presents analysis of the interview results focusing on the interviewees’ thoughts on the state of water data systems in Finland and on the factors that affect the emergence of water data ecosystems in Finland. The interview results indicate a clear need for water data ecosystems but also obstacles preventing their emergence. Inadequate understanding on the part of customer, a lack of water data, regulations, and underdeveloped agreements were seen to hinder the development of water data solutions. In addition to ecosystem development, the emergence of water data ecosystems requires investment and the development of water data solutions, solution concepts, and demonstrations to show the value of the ecosystem. The results show that ecosystems need a clear rationale and vision, effective management of water data sharing, and mechanisms to ensure the scalability of water data ecosystems. © The Author(s) 2024.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85204425900"
"Bimonte S.; Coulibaly F.A.; Rizzi S.","Bimonte, Sandro (15074087900); Coulibaly, Fagnine Alassane (57468974500); Rizzi, Stefano (7005314544)","15074087900; 57468974500; 7005314544","An approach to on-demand extension of multidimensional cubes in multi-model settings: Application to IoT-based agro-ecology","2024","Data and Knowledge Engineering","150","","102267","","","","0","10.1016/j.datak.2023.102267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181168325&doi=10.1016%2fj.datak.2023.102267&partnerID=40&md5=a9a5834636160aeaf877389f1dfca75d","Managing unstructured and heterogeneous data, integrating them, and enabling their analysis are among the key challenges in data ecosystems, together with the need to accommodate a progressive growth in these systems by seamlessly supporting extensibility. This is particularly relevant for OLAP analyses on multidimensional cubes stored in data warehouses (DWs), which naturally span large portions of heterogeneous data, possibly relying on different data models (relational, document-based, graph-based). While the management of model heterogeneity in DWs, using for instance multi-model databases, has already been investigated, not much has been done to support extensibility. In a previous paper we have investigated a schema-on-read scenario aimed at granting the extensibility of multidimensional cubes by proposing an architecture to support it and discussing the main open issues associated. This paper takes a step further by presenting xCube, an approach to provide on-demand extensibility of multidimensional cubes in a supply-driven fashion. xCube lets users choose a multidimensional element to be extended, using additional data, possibly uploaded from a data lake. Then, the multidimensional schema is extended by considering the functional dependencies implied by these additional data, and the extended multidimensional schema is made available to users for OLAP analyses. After explaining our approach with reference to a motivating case study in agro-ecology, we propose a proof-of-concept implementation using AgensGraph and Mondrian. © 2024 Elsevier B.V.","Article","Final","","Scopus","2-s2.0-85181168325"
"Da Q.; Zhou F.; Ciren N.","Da, Qiong (59411713600); Zhou, Fang (59412341700); Ciren, Nima (58194190100)","59411713600; 59412341700; 58194190100","An environmental pollution assessment method for tourist attractions in nature reserves based on factor analysis","2024","International Journal of Environment and Pollution","74","1-4","","1","15","14","0","10.1504/IJEP.2024.142543","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209212718&doi=10.1504%2fIJEP.2024.142543&partnerID=40&md5=a3ac3e729e22463b724e4b58c4371913","In order to improve the accuracy of environmental pollution assessment and shorten the assessment time, a factor analysis based environmental pollution assessment method for tourist attractions in nature reserves is proposed. Firstly, establish an environmental pollution assessment index system for tourist attractions. Secondly, based on the evaluation index system, collect relevant data on environmental pollution in tourist attractions, including air pollution data, water pollution data, soil pollution data, noise pollution data, ecosystem data, and socio-economic data. Finally, a standardised matrix was constructed using factor analysis to extract common factor variables of environmental pollution risk in tourist attractions. Calculate the comprehensive factor score of environmental pollution risk and complete the environmental pollution assessment of tourist attractions. The experimental results show that the environmental pollution assessment results of this method are completely consistent with the actual results, and have a shorter assessment time. © 2024 Inderscience Enterprises Ltd.","Article","Final","","Scopus","2-s2.0-85209212718"
"Wang A.Z.","Wang, Andy Z. (59479693100)","59479693100","Network Harms","2024","University of Chicago Law Review","91","","","2093","2137","44","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212575549&partnerID=40&md5=cfc19f3be5efb79b477869b6b4baf53c","When it comes to data, the whole is greater than the sum of its parts. There may be millions of people with the same birthday. But how many also have a dog, drive a red car, and have two kids? The more that data is aggregated, the more identifying, and thus sensitive, it becomes. In recognition of this principle, the law has developed safe harbors for firms that take steps to prevent aggregation of the data they sell. A firm might, for instance, anonymize its data by removing identifying information. But as the science academy has shown, a wide array of de-anonymization techniques largely renders such efforts moot, allowing motivated actors to link data back to its data subject even after data is anonymized. Today, data collection is ubiquitous. Data brokers-firms that collect, process, and sell the data of individuals with whom they have no direct business relationship-are a major player in this ecosystem. Courts have traditionally conceived of the harms that arise from data brokering as discrete harms divorced from other activity occurring in the larger data ecosystem. But that judicial conception overlooks a crucial intuition: the magnitude of harm arising from one broker's activities depends on what data other brokers in the network are selling. De-anonymization techniques often depend on cross-referencing external data to make internal inferences. Furthermore, a motivated actor can purchase multiple datasets from multiple brokers, employ de-anonymization techniques to overcome barriers to aggregation, and aggregate as they please. The consolidated dataset would represent a far larger privacy harm than if those datasets were to be owned in isolation. These “network harms” have thus far been underexplored. In the absence of meaningful legislation, this Comment urges a turn to the courts. Section 5 of the Federal Trade Commission Act empowers the Federal Trade Commission (FTC) to prevent “unfair or deceptive acts or practices.” In recent years, the FTC has begun to employ these statutory powers to reach the activities of several data brokers. This Comment offers a framework for courts to incorporate network harms in § 5 suits. Doing so would provide a more accurate descriptive account of brokering harms and also extend the reach of the FTC's theories to data brokers whose activities are not grossly negligent but nevertheless harmful. © 2024 University of Chicago Law School. All rights reserved.","Article","Final","","Scopus","2-s2.0-85212575549"
"Denecke K.; Romero O.R.; Merolli M.; Miron-Shatz T.; Gabarron E.; Petersen C.","Denecke, Kerstin (24331428400); Romero, Octavio Rivera (57219176059); Merolli, Mark (55750541200); Miron-Shatz, Talya (24071583700); Gabarron, Elia (55207554100); Petersen, Carolyn (16643989000)","24331428400; 57219176059; 55750541200; 24071583700; 55207554100; 16643989000","How Participatory Health Informatics Catalyzes One Digital Health","2023","Yearbook of Medical Informatics","32","1","","48","54","6","1","10.1055/s-0043-1768727","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180885584&doi=10.1055%2fs-0043-1768727&partnerID=40&md5=b76c334038667ad64d2218b91abdddb1","Objective: To identify links between Participatory Health Informatics (PHI) and the One Digital Health framework (ODH) and to show how PHI could be used as a catalyst or contributor to ODH. Methods: We have analyzed the addressed topics within the ODH framework in previous IMIA Yearbook contributions from our working group during the last 10 years. We have matched main themes with the ODH’s framework three perspectives (individual health and wellbeing, population and society, and ecosystem). Results: PHI catalysts ODH individual health and wellbeing perspective by providing a more comprehensive view on human health, attitudes, and relations between human health and animal health. Integration of specific behavior change techniques or gamification strategies in digital solutions are effective to change behaviors which address the P5 paradigm. PHI supports the population and society perspective through the engagement of the various stakeholders in healthcare. At the same time, PHI might increase a risk for health inequities due to technologies inaccessible to all equally and challenges associated with this. PHI is a catalyst for the ecosystem perspective by contributing data into the digital health data ecosystem allowing for analysis of interrelations between the various data which in turn might provide links among all components of the healthcare ecosystem. Conclusion: Our results suggest that PHI can and will involve topics relating to ODH. As the ODH concept crystalizes and becomes increasingly influential, its themes will permeate and become embedded in PHI even more. We look forward to these developments and co-evolution of the two frameworks. ©2023 IMIAand GeorgThiemeVerlagKG.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85180885584"
"Chanthirasekaran K.; Yogeeswaran S.; Deraman R.; Jackulin T.; Manikanthan S.V.","Chanthirasekaran, K. (37080135700); Yogeeswaran, S. (57196002932); Deraman, Rafikullah (54681864300); Jackulin, T. (57812090600); Manikanthan, S.V. (56879018400)","37080135700; 57196002932; 54681864300; 57812090600; 56879018400","Big Data Architecture Framework for Data Analysis and Processing in Ecosystem","2024","International Journal of Intelligent Systems and Applications in Engineering","12","2s","","435","443","8","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178054464&partnerID=40&md5=be6a65097de6e071992c19f18778b310","Big Data is a well-known buzzword in industry and academics, but there is still much conceptual uncertainty surrounding it, making it difficult to understand what it really means. The phrase is used to denote a wide range of concepts, from technology's ability to receive, repair, and use information to the cultural transformation that is extensively influencing both industries and societies, both of which are drowning in information. Research has gone in a lot of different areas because there is no official definition. This article explores the nature of big data, which can come from various fields of science, business, and social activity. It also suggests an improved big data definition that contains the following elements: Aspects of large data include facilities, safety, data infrastructure, data concepts, and data architectures. This article talks about the paradigm change in big data operations from traditional host-or service-oriented design to data-centric architecture. The Big Data Architecture Framework (BDAF), which is proposed to handle every area of the Big Data Ecosystem, is made up of the following components. As a result, the analysis of big data is currently the subject of study and development. Examining the possible effects of big data challenges, unanswered research problems, and related tools is the primary objective of this work. Thus, this paper provides a paradigm for investigating big data at different stages. Academics now have novel possibilities to develop the solution as a result of the difficulties and open research problems. © 2024, Ismail Saritas. All rights reserved.","Article","Final","","Scopus","2-s2.0-85178054464"
"Lnenicka M.; Machova R.","Lnenicka, Martin (55743937500); Machova, Renata (57189716764)","55743937500; 57189716764","How intentions to use of OGD and respective portals changed over time: evidence from a three-year study among Czech students","2024","Online Information Review","","","","","","","0","10.1108/OIR-05-2023-0231","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211128553&doi=10.1108%2fOIR-05-2023-0231&partnerID=40&md5=331b27a1b621c538a948c8f47df433a9","Purpose: Building an open data ecosystem is a long-term process during which it is necessary to collect feedback so that its development corresponds to the preferences and needs of users. The purpose of this paper is to provide findings and recommendations on how the intentions to use of Open Government Data (OGD) and OGD portals by Czech students evolved over the three years period from 2021 to 2023. Design/methodology/approach: A mixed research approach was used to conduct the research study and to collect input data. A methodology followed the behavioural intention-based analysis using the model developed by Lnenicka et al. (2022) to analyse relationships between respective constructs and test the hypotheses. Each cycle of data collection using structured questionnaires was supplemented with semi-structured interviews to get students’ feedback on the findings. Findings: The findings revealed that intentions to use of OGD and OGD portals by Czech students slightly decrease every year. Although students believe that using OGD is beneficial, can increase their performance and productivity, as well as they are influenced by other people to try to (re)use OGD, they miss concrete support above their daily activities in which they could use OGD. Therefore, we provided recommendations to improve their (re)use such as linking OGD with life events to show their usefulness for concrete life situations and activities. Originality/value: The study provides insights into how intentions to use of OGD and OGD portals among Czech students evolved over the years and what should be the actions to consider improving the level of use. It provides governments on all administrative levels the recommendations for further improvements and actions to promote and stimulate the (re)use of OGD by students as well as other stakeholders. © 2024, Emerald Publishing Limited.","Article","Article in press","","Scopus","2-s2.0-85211128553"
"Reddy K.R.; Farhad S.; Kotti J.; Sonule V.; Muniyandy E.; Verma A.","Reddy, Karaka Ramakrishna (58879819500); Farhad, S. (58911729400); Kotti, Jayasri (58155169700); Sonule, Vaibhav (58880299000); Muniyandy, Elangovan (58932079700); Verma, Amit (57304749700)","58879819500; 58911729400; 58155169700; 58880299000; 58932079700; 57304749700","IoT-Driven Big Data Analytic to Automate Blockchain Adaptation","2024","International Journal of Intelligent Systems and Applications in Engineering","12","14s","","607","615","8","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184672746&partnerID=40&md5=fb4fcd33df9b20cbfc62538e28f005bc","The convergence of Internet of Things (IoT), big data analytics, and blockchain technology presents a transformative paradigm for automating and enhancing blockchain adaptation. By leveraging IoT-driven big data analytics, organizations can seamlessly integrate and analyze vast volumes of data generated by interconnected devices. This wealth of data provides valuable insights into real-world processes, enabling informed decision-making and precise identification of areas where blockchain can bring significant benefits. The interconnected nature of IoT devices facilitates the creation of a transparent and secure data ecosystem, and the data generated becomes the fuel for blockchain adaptation. Through sophisticated analytics, patterns, trends, and anomalies within the data can be identified, informing the development of smart contracts and decentralized applications (DApps) tailored to specific use cases. This approach not only automates the integration of blockchain but also ensures its optimal utilization, addressing challenges such as scalability and interoperability. As a result, the synergy between IoT, big data analytics, and blockchain fosters a dynamic environment where decentralized systems can evolve organically, driven by real-world data insights and adaptive to the evolving needs of diverse industries. Present research is considering total supply, brand, stacking cost and royalty during big data analytic to automate the adaptation of blockchain. © 2024, Ismail Saritas. All rights reserved.","Article","Final","","Scopus","2-s2.0-85184672746"
"Prinsloo P.; Khalil M.; Slade S.","Prinsloo, Paul (6603182543); Khalil, Mohammad (57002304100); Slade, Sharon (36919398900)","6603182543; 57002304100; 36919398900","Learning analytics as data ecology: a tentative proposal","2024","Journal of Computing in Higher Education","36","1","","154","182","28","13","10.1007/s12528-023-09355-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146827946&doi=10.1007%2fs12528-023-09355-4&partnerID=40&md5=11f5affe638fd9fbb351aebcc149a4ac","Central to the institutionalization of learning analytics is the need to understand and improve student learning. Frameworks guiding the implementation of learning analytics flow from and perpetuate specific understandings of learning. Crucially, they also provide insights into how learning analytics acknowledges and positions itself as entangled in institutional data ecosystems, and (increasingly) as part of a data ecology driven by a variety of data interests. The success of learning analytics should therefore be understood in terms of data flows and data interests informing the emerging and mutually constitutive interrelationships and interdependencies between different stakeholders, interests and power relations. This article analyses several selected frameworks to determine the extent to which learning analytics understands itself as a data ecosystem with dynamic interdependencies and interrelationships (human and non-human). Secondly, as learning analytics increasingly becomes part of broader data ecologies, we examine the extent to which learning analytics takes cognizance of the reality, the potential and the risks of being part of a broader data ecology. Finally, this article examines the different data interests vested in learning analytics and critically considers implications for student data sovereignty. The research found that most of the analyzed frameworks understand learning analytics as a data ecosystem, with very little evidence of a broader data ecological understanding. The vast majority of analyzed frameworks consider student data as valuable resource without considering student data ownership and their data rights for self-determination. © The Author(s) 2023.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85146827946"
