BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","GRAHAM202411180","Graham, Jason R.; Taghipoor, Masoomeh; Gloria, Leonardo S.; Boerman, Jacquelyn P.; Doucette, Jarrod; Rocha, Artur O.; Brito, Luiz F.","Trait development and genetic parameters of resilience indicators based on variability in milk consumption recorded by automated milk feeders in North American Holstein calves","Journal of Dairy Science",107,12,"","11180-11194",2024,"","","https://www.sciencedirect.com/science/article/pii/S0022030224010907","","","","","","","","","","","","","ABSTRACT The implementation of automated milk feeders (AMF) on precision dairy farms has enabled efficient management of large numbers of group-housed replacement calves with reduced labor requirements and improved calf welfare. In this study, we investigated the feasibility of deriving calf resilience indicators based on variability in milk consumption using data from 10,076 North American Holstein calves collected between 2015 and 2021. We modeled and evaluated deviations in observed and predicted daily milk consumption trajectories as indicators of resilience to environmental perturbations. We also analyzed average milk intake and the number of treatments for bovine respiratory disease (BRD) and their genetic correlations with the derived resilience parameters. Milk consumption was recorded using the Förster-Technik AMF. Deviations in cumulative milk intake were modeled using various methods, including quantile regression and the Gompertz function. Ten resilience indicators were derived to quantify the degree and duration of perturbations, including amplitude, perturbation time, recovery time, and deviation velocities. After data editing, genomic data from 9,273 calves and pedigree information from 10,076 calves with 321,388 phenotypic records were used to estimate genetic parameters for 12 traits, including 10 calf resilience indicators as well as average milk intake and treatments for BRD. Substantial phenotypic variability was observed for all calf resilience indicators derived and genetic parameters related to these novel resilience indicators were estimated. The heritability estimates for the resilience traits are as follows: amplitude of the deviation (in L) 0.047 (0.032, 0.064; HPD interval), perturbation time of deviation (in d) 0.011 (0.0056, 0.016), recovery time of the deviation (in d) 0.025 (0.016, 0.035), maximum velocity of perturbation (L/d) 0.039 (0.024, 0.053), average velocity of perturbation (L/d) 0.038 (0.022, 0.050), area between the curves (L × d) 0.039 (0.027, 0.054), recovery ratio 0.053 (0.036, 0.072), deviation variance 0.049 (0.32, 0.068), log-deviation variance 0.027 (0.016, 0.044), deviation autocorrelation 0.010 (0.0042, 0.017) and number of deviation occurrences 0.023 (0.0094, 0.036). Some of the highlighted genetic correlations observed with average milk consumption include amplitude: 0.569 (0.474, 0.666), perturbation time: −0.534 (−0.73, −0.342), and average velocity: 0.554 (0.432, 0.672). Similarly, the genetic correlations between the number of times treated for BRD with perturbation time was 0.494 (0.251, 0.723), −0.294 (−0.52, −0.095) with number of deviations, and 0.348 (0.131, 0.578) with deviation autocorrelation. This study highlights the genetic influence on various resilience traits in calves, including amplitude, perturbation time, recovery time, and velocity measures of the perturbation. Our findings suggest the need for prioritizing genetic selection based on traits such as recovery time, which exhibits higher heritability and a moderate genetic correlation with the number of times a calf is treated for BRD. The combination of AMF data, mathematical modeling, and genomic evaluation provides a comprehensive framework for assessing and breeding more resilient dairy calves in the face of environmental and health challenges.","","calf health, calf milk intake, longitudinal trait, respiratory diseases","",""
7,"","ALFARONAVARRO2024105284","Alfaro-Navarro, José-Luis; López-Ruiz, Víctor-Raúl; Huete-Alcocer, Nuria; Nevado-Peña, Domingo","Quality of life in the urban context, within the paradigm of digital human capital","Cities",153,,"","105284",2024,"","","https://www.sciencedirect.com/science/article/pii/S0264275124004980","","","","","","","","","","","","","Human capital is crucial in the development of smart cities and directly impacts quality of life. Smart cities are not made only through their infrastructures and applied technologies but also by their residents' digital capabilities. In this paper, we analyze the relationship between citizens' digital capabilities and their perception of quality of life. Specifically, we use data from a survey in Spain in 2023 from citizens residing in cities with populations exceeding 100,000 with responses from 587 individuals. The results reveal a significant correlation between the level of digital skills and various factors determining quality of life. Residents in densely populated urban areas show higher levels of social happiness when they possess greater digital capabilities. Additionally, one of the questions captured the citizens' digital capabilities, enabling the identification of three clusters. These clusters exhibit significant differences in access to essential services, job opportunities, and levels of social interaction. Residents with more advanced digital skills benefit from greater availability of services and higher-paying jobs, although they experience lower levels of social interaction. Therefore, we demonstrate the fundamental importance of human capital and digital ability as critical components in the construction of smart cities and the improvement of social happiness.","","Digital skills, Smart cities, Urban planning, Quality of life, Social happiness, Sustainability","",""
7,"","PELLIZZONI2024105639","Pellizzoni, Leonardo; Falavigna, Asdrubal","Connecting verified databases with clinical practice and the patient’ s experience through omnichannel communication","International Journal of Medical Informatics",192,,"","105639",2024,"","","https://www.sciencedirect.com/science/article/pii/S1386505624003022","","","","","","","","","","","","","Introduction Patient-reported outcomes (PRO) collect data directly from patients. These data are utilized in clinical practice, helping decision-making. Studies emphasize the importance of omnichannel communication (WhatsApp, e-mail, SMS) with healthcare professionals and patients. Omnichannel communication enables the integration of different communication channels to improve the end-client experience. In addition to the means of communication, the daily practice of professionals requires different activities that can be performed in distinct systems. The existence of various separate systems for other activities in medical practice may result in complexities and bottlenecks in their use by healthcare professionals and patients. Objective: To present the Digital Health Ecosystem (DHE) that unifies scientific research with medical practice in omnichannel communication and mechanisms to verify the authenticity and integrity of the data collected and stored. Methodology: The system requirements and needs were met utilizing the Iconix development methodology. Microsoft Dot Net was used to develop software. Usability, usefulness and user satisfaction with the system were measured using the Post-Study System Usability Questionnaire (PSSUQ). Results: Omnichannel communication was utilized to contact patients and healthcare professionals autonomously. A single system enabled the carrying out of patientreported outcome data collection, telemedicine, image storage, and notes from patient consultations. The data was collected through structured questionnaires via link and chatbot. The functionalities created in the HDE allowed the integrity and authenticity verification of the data collected and stored. Conclusion: Personalized omnichannel communication via links and chatbots using WhatsApp, E-mail, and SMS accelerates autonomous interaction with patients and healthcare professionals. In addition, the structured and non-structured data were stored in the EHD and able to be verified for integrity and authenticity.","","","",""
7,"","SALAKO2024112832","Salako, Gabriel; Zaitsev, Andrey; Betancur-Corredor, Bibiana; Russell, David J.","Modelling and spatial prediction of earthworms ecological-categories distribution reveal their habitat and environmental preferences","Ecological Indicators",169,,"","112832",2024,"","","https://www.sciencedirect.com/science/article/pii/S1470160X24012895","","","","","","","","","","","","","Earthworms are one of the important soil animals and have been generally described as soil engineers. Knowledge on environmental conditions driving the distribution and population of this soil animal and the habitat which support these conditions especially at the ecological level is required to understand their responses to these environmental conditions at different habitats so as to guide its usage as bio indicator of soil quality and health. In this study we use RandomForest (RF), a machine learning algorithm to model species distribution, density/abundance based (SDM/SAM) and predict the biodiversity distribution (richness and density, ind.m−2) of three basic earthworms ecological categories: epigeic, endogeic and anecic (including the epi-anecic subcategory) across soil and climate variables at multiple habitat type/land uses in Germany. Our study shows there are spatial/ geographic variation in the distribution of the species richness and density among the three earthworms’ ecological categories. Also their environmental and habitat preferences are equally different, while epigeic species are predicted to be climate driven mostly in forests, endogeics are predicted to be the most diverse (in richness and density), but are mostly driven by soil textural contents (clay and silt) and found primarily in arable and grassland. Vineyard and crop flood plain are predicted to be suitable and the preferred habitat for anecics/epi-anecics. This study also identify optimum environmental gradient at which the species density is at the peak in each of the earthworm’s ecological category which would not only provide guide on soil biodiversity monitoring but also the soil health status.","","Ecological categories, Biodiversity, Habitat, Richness and density","",""
7,"","KRUK2024106355","Kruk, Sake R. L.; Bush, Simon R.; Phillips, Michael","Federating ‘Aquaculture 4.0’ for data-driven social and environmental sustainability","Marine Policy",169,,"","106355",2024,"","","https://www.sciencedirect.com/science/article/pii/S0308597X24003531","","","","","","","","","","","","","Aquaculture is undergoing a revolution of data-driven innovation. The rapid uptake of digital technologies in the sector contributes ever larger amounts of data that hold potential for improving decision making for aquatic food system sustainability. Realising the potential of digital tools and new data streams is, however, not inevitable. The current ecosystem of global and production-level digital aquaculture technologies and platforms is highly fragmented with a strong focus on private farm-level data for improving production efficiency, and limited publicly available data that can be used for social and environmental sustainability. Three scenarios for the future development of the aquaculture data ecosystem are possible (1) continued fragmentation; (2) centralisation, and (3) coordination in a federated ecosystem. Recognising a federated ecosystem as having the most potential for contributing to food system sustainability we provide three priority areas for improving data coverage, sharing and integration between and among farm-level and global platforms.","","Aquaculture, Digitalization, Data, Technology, Governance","",""
7,"","DELFOS2024101963","Delfos, J.; Zuiderwijk, A. M. G.; van Cranenburgh, S.; Chorus, C. G.; Dobbe, R. I. J.","Integral system safety for machine learning in the public sector: An empirical account","Government Information Quarterly",41,3,"","101963",2024,"","","https://www.sciencedirect.com/science/article/pii/S0740624X24000558","","","","","","","","","","","","","This paper introduces systems theory and system safety concepts to ongoing academic debates about the safety of Machine Learning (ML) systems in the public sector. In particular, we analyze the risk factors of ML systems and their respective institutional context, which impact the ability to control such systems. We use interview data to abductively show what risk factors of such systems are present in public professionals' perceptions and what factors are expected based on systems theory but are missing. Based on the hypothesis that ML systems are best addressed with a systems theory lens, we argue that the missing factors deserve greater attention in ongoing efforts to address ML systems safety. These factors include the explication of safety goals and constraints, the inclusion of systemic factors in system design, the development of safety control structures, and the tendency of ML systems to migrate towards higher risk. Our observations support the hypothesis that ML systems can be best regarded through a systems theory lens. Therefore, we conclude that system safety concepts can be useful aids for policymakers who aim to improve ML system safety.","","Machine learning, Artificial intelligence, Systems theory, System safety, Public sector, Public policy, Governance","",""
7,"","JI2024121508","Ji, Zhenqing; Zou, Songbing; Zhang, Wenyong; Song, Fei; Yuan, Tenggang; Xu, Baorong","Optimizing zoning for ecological management in alpine region by combining ecosystem service supply and demand with ecosystem resilience","Journal of Environmental Management",365,,"","121508",2024,"","","https://www.sciencedirect.com/science/article/pii/S0301479724014944","","","","","","","","","","","","","In order to enhance ecosystem stability and promote sustainable regional ecological, social, and economic development, it is crucial to explore the coupling relationship between ecosystem service supply and demand and the resilience of ecosystem, so as to propose scientific ecological management zones and strategies. Taking the vulnerable alpine ecosystem in Gannan Tibetan Autonomous Prefecture (Gannan Prefecture) as the study area, this paper comprehensively utilized multi-source data, grid analysis, ecosystem service supply and demand estimation model, and coupled coordination model to analyze the spatio-temporal differentiation and coordination pattern of ecosystem service supply and demand in the study area from 2000 to 2020. With the assistance of the Analytic Hierarchy Process (AHP), the ecosystem resilience index system was constructed to evaluate the regional ecological resilience. The results reveal the following: (1) In the past 20 years, the ecosystem service supply and resilience in Gannan Prefecture showed a fluctuating upward trend, and the demand continued to grow steadily. Their spatial differentiation were obvious, but the pattern remained stable. (2) There was a moderate incoordination indicated by the average coordination degree of the supply and demand coupling of ecosystem services, which rangeed between 0.3 and 0.4. (3) Gannan Prefecture was split into three ecological management zones, considering the spatial distribution of ecosystem service supply and demand, as well as resilience. Through system function monitoring and other measures, the ecological conservation zone will rely on its high resilience to support the restoration and self-sufficiency of the system, ensuring the stability and well-being of the ecosystem. The primary objectives of general protected zone includes environmental preservation, strict regulations, and the prevention of human intervention. To enhance their ecological background, key restoration zone must intensify the implementation of ecological restoration initiatives. To address the needs of the locals, strategies such as ecological compensation, optimizing the land use structure, and fostering the growth of environmentally friendly companies can be implemented simultaneously.","","Ecosystem services supply and demand, Coupling coordination, Ecosystem resilience, Ecological management zoning, Fragile alpine ecosystem, The northeast edge of the Qinghai-Tibet plateau","",""
7,"","CHEN2024e32477","Chen, Zhiling; Dai, Xinghong","Utilizing AI and IoT technologies for identifying risk factors in sports","Heliyon",10,11,"","e32477",2024,"","","https://www.sciencedirect.com/science/article/pii/S2405844024085086","","","","","","","","","","","","","A dynamic cooperation is poised to redefine the limits of athlete safety and performance optimization in the dynamic field of sports science. A new age in sports analysis is promised by the combination of artificial intelligence (AI) and the internet of things (IoT), one in which data-driven insights not only improve our comprehension of athletic performance but also aid to reduce hazards. This academic work explores the complex interactions between AI and IoT in the context of sports. The IoT and AI integration appear to be a strong mix that has the potential to redefine the standards for athlete safety and performance improvement. This study explores the complex interactions between AI and IoT in the field of sports, emphasizing their combined potential for identifying risk factors in a variety of fields. There is a chance to proactively solve sports-related difficulties by utilizing the data-driven capabilities of IoT and the analytical power of AI, opening the door for better informed tactics and decision-making. Through an exploration of this symbiotic relationship, this paper seeks to underline the transformative potential of these technologies in fostering a safer and more performance-oriented sports environment.","","AI, IoT, Sports analytics, Risk factor identification, Scaled conjugate gradient algorithm, Athlete safety, Performance optimization","",""
7,"","GALDINODEMAGALHAESSANTOS2024106029","Galdino de Magalhães Santos, Larissa","Open government data in the Brazilian digital government: Enabling an SDG acceleration agenda","Computer Law & Security Review",54,,"","106029",2024,"","","https://www.sciencedirect.com/science/article/pii/S0267364924000955","","","","","","","","","","","","","Open Government Data (OGD) has evolved from the mere generation of public data to its active management, but the strategic evolution still needs to be explored. This article explores the intersection of government's digital transformation, the Sustainable Development Goals (SDGs), and the role of government open data initiatives. The study focuses on the Brazilian trajectory, employing the ""data as a public good"" approach to evaluate data governance and capabilities as facilitators of sustainable digital transformation. The GDB method aligns with the SDG Digital Acceleration agenda, providing insights into integrating data in society and digital transformation. The study concludes by indicating the need for more dialogue and synergy between data management and government strategies. It emphasizes integrating data management, privacy protection, transparency, and ethical considerations for sustainable impact.","","Digital government, Open government data, Sustainable development goals, Data governance, Data capabilities","",""
7,"","DONINI2024100241","Donini, Francesco; Marcelletti, Alessandro; Morichetta, Andrea; Polini, Andrea","Coordinating REST Interactions in Service Choreographies using Blockchain","Blockchain: Research and Applications",,,"","100241",2024,"","","https://www.sciencedirect.com/science/article/pii/S209672092400054X","","","","","","","","","","","","","In Service Oriented Computing (SOC), different services interact and exchange information to reach specific objectives. To model inter-organizational SOC systems, Choreography modeling languages emerged to represent the distributed coordination among the involved organizations. From the realization perspective, blockchain technology is emerging as a promising run-time supporting peer-to-peer communication without the need for a central coordinator, thanks to its intrinsic security, trust and decentralization characteristics. However, while blockchain can bring many advantages, technological barriers still limit its adoption in organizations, due to the costly and time-consuming learning process. For this reason, we propose RESTChain, a framework enabling in an automatic way the interactions that take place among the participants in a service choreography exploiting blockchain technology. Starting from a choreography specification, the framework provides a set of Mediators and automatically generates a Smart Contract that coordinates the service interactions. The mediators are software components that are directly connected with the smart contracts and expose REST APIs in compliance with the role played by the organizations in the choreography. In this way, the services deployed by one organization can communicate with the services made available by another organization through the blockchain, in a secure and transparent manner. The proposed approach has been implemented on the Layer 2 Polygon blockchain and has been validated on a Market Retail case study analyzing its efficiency in terms of costs and times.","","Blockchain, REST, Service choreography, Model-driven engineering","",""
